#Freq       VDB(5)    
 100.      -1.9542E-06   
 102.33    -1.9542E-06   
 104.71    -1.9542E-06   
 107.15    -1.9542E-06   
 109.65    -1.9542E-06   
 112.2     -1.9542E-06   
 114.82    -1.9542E-06   
 117.49    -1.9542E-06   
 120.23    -1.9542E-06   
 123.03    -1.9542E-06   
 125.89    -1.9542E-06   
 128.82    -1.9542E-06   
 131.83    -1.9542E-06   
 134.9     -1.9542E-06   
 138.04    -1.9542E-06   
 141.25    -1.9542E-06   
 144.54    -1.9541E-06   
 147.91    -1.9541E-06   
 151.36    -1.9541E-06   
 154.88    -1.9541E-06   
 158.49    -1.9541E-06   
 162.18    -1.9541E-06   
 165.96    -1.9541E-06   
 169.82    -1.9541E-06   
 173.78    -1.9541E-06   
 177.83    -1.9541E-06   
 181.97    -1.954E-06    
 186.21    -1.954E-06    
 190.55    -1.954E-06    
 194.98    -1.954E-06    
 199.53    -1.954E-06    
 204.17    -1.954E-06    
 208.93    -1.954E-06    
 213.8     -1.9539E-06   
 218.78    -1.9539E-06   
 223.87    -1.9539E-06   
 229.09    -1.9539E-06   
 234.42    -1.9539E-06   
 239.88    -1.9538E-06   
 245.47    -1.9538E-06   
 251.19    -1.9538E-06   
 257.04    -1.9538E-06   
 263.03    -1.9537E-06   
 269.15    -1.9537E-06   
 275.42    -1.9537E-06   
 281.84    -1.9536E-06   
 288.4     -1.9536E-06   
 295.12    -1.9536E-06   
 302.      -1.9535E-06   
 309.03    -1.9535E-06   
 316.23    -1.9535E-06   
 323.59    -1.9534E-06   
 331.13    -1.9534E-06   
 338.84    -1.9533E-06   
 346.74    -1.9533E-06   
 354.81    -1.9533E-06   
 363.08    -1.9532E-06   
 371.54    -1.9531E-06   
 380.19    -1.9531E-06   
 389.05    -1.953E-06    
 398.11    -1.953E-06    
 407.38    -1.9529E-06   
 416.87    -1.9528E-06   
 426.58    -1.9528E-06   
 436.52    -1.9527E-06   
 446.68    -1.9526E-06   
 457.09    -1.9525E-06   
 467.74    -1.9525E-06   
