refdes	footprint	value	mfg	mfg_PN	vendor	vendor_PN	price	documentation	source	comment	
K302	CON-SIL-254P-12N____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
K301	CON-SIL-254P-12N____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
S301	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U306	SO8____.fp	AD8307AR	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
L313	unknown	1uH	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C345	unknown	1uF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C346	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C350	unknown	10nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C349	unknown	1uF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
L314	unknown	1uH	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C348	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C347	unknown	1uF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C344	unknown	1uF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J303	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U305	SO8____.fp	AD8307AR	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
L311	unknown	1uH	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C339	unknown	1uF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C338	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C343	unknown	10nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C342	unknown	1uF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
L312	unknown	1uH	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C341	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C340	unknown	1uF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C337	unknown	1uF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
J302	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C332	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
P301	unknown	5k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R306	unknown	2k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
